PostCode_clean,Address_street,Companies_at_Address,Companies_in_Postcode,FullAddress_best,Address_share_in_PC
WC2H 9JQ,71-75 SHELTON STREET,12015,12152,"71-75 SHELTON STREET, COVENT GARDEN, LONDON, WC2H 9JQ",98.9
EC1V 2NX,124-128 CITY ROAD,8784,9494,"128 CITY ROAD, LONDON, EC1V 2NX",92.5
N1 7GU,20-22 WENLOCK ROAD,5511,5553,"20-22 WENLOCK ROAD, LONDON, N1 7GU",99.2
EC2A 4NE,86-90 PAUL STREET,4273,4383,"3RD FLOOR, 86-90, PAUL STREET, LONDON, EC2A 4NE",97.5
W1W 7LT,85 GREAT PORTLAND STREET,2676,2884,"85 GREAT PORTLAND STREET, FIRST FLOOR, LONDON, W1W 7LT",92.8
WC1N 3AX,27 OLD GLOUCESTER STREET,2256,2314,"27 OLD GLOUCESTER STREET, LONDON, WC1N 3AX",97.5
IP28 7DE,82 JAMES CARTER ROAD,1681,1989,"UNIT 82A JAMES CARTER ROAD, MILDENHALL, BURY ST. EDMUNDS, IP28 7DE",84.5
W1W 5PF,167-169 GREAT PORTLAND STREET,1289,1564,"167-169 GREAT PORTLAND STREET, 5TH FLOOR, LONDON, W1W 5PF",82.4
WC2A 2JR,7 BELL YARD,1124,1197,"7 BELL YARD, LONDON, WC2A 2JR",93.9
WA1 1RG,320 FIRECREST COURT,891,914,"320 FIRECREST COURT, CENTRE PARK, WARRINGTON, WA1 1RG",97.5
HR5 3DJ,61 BRIDGE STREET,882,1178,"61 BRIDGE STREET, KINGTON, HR5 3DJ",74.9
HA4 7AE,17 KING EDWARDS ROAD,682,707,"2ND FLOOR COLLEGE HOUSE, 17 KING EDWARDS ROAD, RUISLIP, HA4 7AE",96.5
G2 4JR,272 BATH STREET,624,654,"272 BATH STREET, GLASGOW, G2 4JR",95.4
EH2 4AN,5 SOUTH CHARLOTTE STREET,533,561,"5 SOUTH CHARLOTTE STREET, EDINBURGH, EH2 4AN",95.0
E1 0SG,5 BRAYFORD SQUARE,469,497,"5 BRAYFORD SQUARE, LONDON, E1 0SG",94.4
BH21 7SB,COBHAM ROAD,465,500,"C/O SG ACCOUNTING 1 CEDAR OFFICE PARK, COBHAM ROAD, WIMBORNE, BH21 7SB",93.0
EC1V 2NX,152-160 CITY ROAD,461,9494,"KEMP HOUSE, 160 CITY ROAD, LONDON, EC1V 2NX",4.9
ML11 0QW,44 MAIN STREET,451,460,"44 MAIN STREET, DOUGLAS, ML11 0QW",98.0
W1W 6XH,101 NEW CAVENDISH STREET,433,437,"101 NEW CAVENDISH STREET, 1ST FLOOR SOUTH, LONDON, W1W 6XH",99.1
W1B 3HH,207 REGENT STREET,431,477,"3RD FLOOR SUITE, 207 REGENT STREET, LONDON, W1B 3HH",90.4
BN3 7GS,325-327 OLD SHOREHAM ROAD,414,424,"W8A KNOLL BUSINESS CENTRE, 325-327 OLD SHOREHAM ROAD, HOVE, BN3 7GS",97.6
WC2A 1HR,"1 QUALITY COURT, CHANCERY LANE",406,432,"SUITE G04, 1 QUALITY COURT, CHANCERY LANE, LONDON, WC2A 1HR",94.0
WA1 1RL,840 IBIS COURT,384,469,"840 IBIS COURT, CENTRE PARK, WARRINGTON, WA1 1RL",81.9
BH16 6FA,13 FREELAND PARK,380,543,"LYTCHETT HOUSE 13 FREELAND PARK, WAREHAM ROAD, POOLE, BH16 6FA",70.0
N21 3NA,1 KINGS AVENUE,348,349,"1 KINGS AVENUE, LONDON, N21 3NA",99.7
SW1Y 4JU,"STRON LEGAL, THE CLUBHOUSE ST JAMES",308,325,"STRON LEGAL, THE CLUBHOUSE ST JAMES, 8 ST JAMES'S SQUARE, ST JAMES'S, LONDON, SW1Y 4JU",94.8
WD17 1HP,51 CLARENDON ROAD,287,303,"4TH FLOOR RADIUS HOUSE, 51 CLARENDON ROAD, WATFORD, WD17 1HP",94.7
N14 5BP,CHASE BUSINESS CENTRE,286,336,"CHASE BUSINESS CENTRE, 39-41 CHASE SIDE, LONDON, N14 5BP",85.1
N3 1XW,35 BALLARDS LANE,277,277,"35 BALLARDS LANE, LONDON, N3 1XW",100.0
CV1 2NT,111 NEW UNION STREET,275,321,"UNION HOUSE, 111 NEW UNION STREET, COVENTRY, CV1 2NT",85.7
WA14 4RW,MANCHESTER ROAD,270,273,"MANSION HOUSE, MANCHESTER ROAD, ALTRINCHAM, WA14 4RW",98.9
CV2 4AQ,"7 COPPERFIELD ROAD, COVENTRY",263,349,"7 COPPERFIELD ROAD, COVENTRY, WEST MIDLANDS, ENGLAND, CV2 4AQ",75.4
HG1 1ND,9 PRINCES SQUARE,262,306,"9 PRINCES SQUARE, HARROGATE, HG1 1ND",85.6
E14 5HU,5 CHURCHILL PLACE,258,359,"5 CHURCHILL PLACE, 10TH FLOOR, LONDON, E14 5HU",71.9
EH7 5JA,78 MONTGOMERY STREET,257,258,"SUITE 1, 78 MONTGOMERY STREET, EDINBURGH, EH7 5JA",99.6
N5 2ER,22 HIGHBURY GROVE,249,252,"OFFICE 403, SCREENWORKS, 22 HIGHBURY GROVE, LONDON, N5 2ER",98.8
CR0 2LX,DINGWALL ROAD,241,242,"6TH FLOOR, AMP HOUSE, DINGWALL ROAD, CROYDON, CR0 2LX",99.6
W1G 0PW,33 CAVENDISH SQUARE,240,254,"33 CAVENDISH SQUARE, LONDON, W1G 0PW",94.5
G2 1BP,48 WEST GEORGE STREET,239,358,"CLYDE OFFICES 2ND FLOOR, 48 WEST GEORGE STREET, GLASGOW, G2 1BP",66.8
WC1X 0ND,2 FREDERICK STREET,239,243,"2 FREDERICK STREET, KINGS CROSS, LONDON, WC1X 0ND",98.4
E1W 9US,2 LEMAN STREET,238,240,"2 LEMAN STREET, LONDON, E1W 9US",99.2
BH25 5NR,QUEENSWAY HOUSE,227,234,"QUEENSWAY HOUSE, 11 QUEENSWAY, NEW MILTON, BH25 5NR",97.0
N13 4BS,483 GREEN LANES,223,275,"483 GREEN LANES, LONDON, N13 4BS",81.1
WC1H 9BQ,7-12 TAVISTOCK SQUARE,220,239,"LYNTON HOUSE, 7-12 TAVISTOCK SQUARE, LONDON, WC1H 9BQ",92.1
W1G 7AJ,41 DEVONSHIRE STREET,217,217,"41 DEVONSHIRE STREET, GROUND FLOOR OFFICE 1, LONDON, W1G 7AJ",100.0
M2 3WQ,9 OXFORD COURT,214,318,"BARTLE HOUSE, 9 OXFORD COURT, MANCHESTER, M2 3WQ",67.3
CR0 2RF,95 LONDON ROAD,214,271,"STONEMEAD HOUSE, 95 LONDON ROAD, CROYDON, CR0 2RF",79.0
LS1 5AB,1 PARK ROW,210,215,"1 PARK ROW, LEEDS, LS1 5AB",97.7
EC3V 3QQ,73 CORNHILL,209,219,"73 CORNHILL, LONDON, EC3V 3QQ",95.4
L18 1DG,48-52 PENNY LANE,206,211,"48 - 52 PENNY LANE, MOSSLEY HILL, LIVERPOOL, L18 1DG",97.6
EH2 1JE,4 QUEEN STREET,203,221,"SUITE 1, 4 QUEEN STREET, EDINBURGH, EH2 1JE",91.9
W1T 6EB,45 FITZROY STREET,200,404,"SILVERSTREAM HOUSE, 45 FITZROY STREET, LONDON, W1T 6EB",49.5
