metric,count,denominator,rate,rate_%
micro_entity,591263,2006773,0.2946337228974079,29.463
no_accounts_filed,519694,2006773,0.2589699981014295,25.897
total_exemption_full,501697,2006773,0.2500018686717431,25.0
dormant,248577,2006773,0.12386901757199245,12.387
unaudited_abridged,54660,2006773,0.027237759328035606,2.724
full,32947,2006773,0.016417900779011875,1.642
small,29481,2006773,0.01469074977588397,1.469
audit_exemption_subsidiary,16707,2006773,0.00832530635004557,0.833
group,9540,2006773,0.004753900914552867,0.475
medium,884,2006773,0.0004405082189166388,0.044
total_exemption_small,666,2006773,0.0003318761015819926,0.033
audited_abridged,441,2006773,0.00021975579699348157,0.022
filing_exemption_subsidiary,191,2006773,9.51776807840249e-05,0.01
accounts_type_not_available,23,2006773,1.1461186691270014e-05,0.001
initial,1,2006773,4.983124648378267e-07,0.0
